isin,security_name,index
DE000ENER6Y0,Siemens Energy AG,DE_large
DE000SYM9999,Symrise AG,DE_large
DE000PAH0038,Porsche Automobil Holding SE,DE_large
DE000A0D9PT0,MTU Aero Engines AG,DE_large
DE0007030009,Rheinmetall AG,DE_large
DE000DTR0CK8,Daimler Truck Holding AG,DE_large
DE000SHL1006,Siemens Healthineers AG,DE_large
DE000ZAL1111,Zalando SE,DE_large
NL0015002CX3,QIAGEN NV,DE_large
DE0007165631,Sartorius AG,DE_large
DE000A1DAHH0,Brenntag SE,DE_large
NL0000235190,Airbus SE,DE_large
DE0008404005,Allianz SE,DE_large
DE0007037129,RWE AG,DE_large
DE000BAY0017,Bayer AG,DE_large
DE0005190003,Bayerische Motoren Werke AG,DE_large
DE000CBK1001,Commerzbank AG,DE_large
DE0005140008,Deutsche Bank AG,DE_large
DE000BASF111,BASF SE,DE_large
DE0006048432,Henkel AG & Co KGaA,DE_large
DE0007236101,Siemens AG,DE_large
DE0007664039,Volkswagen AG,DE_large
DE000ENAG999,E.ON SE,DE_large
DE0005200000,Beiersdorf AG,DE_large
DE0006047004,Heidelberg Materials AG,DE_large
DE0008430026,Muenchener Rueckversicherungs-,DE_large
DE0005785604,Fresenius SE & Co KGaA,DE_large
DE0007164600,SAP SE,DE_large
DE0006599905,Merck KGaA,DE_large
DE000A1EWWW0,adidas AG,DE_large
DE0005557508,Deutsche Telekom AG,DE_large
DE0005552004,Deutsche Post AG,DE_large
DE0005785802,Fresenius Medical Care AG,DE_large
DE0007100000,Mercedes-Benz Group AG,DE_large
DE0006231004,Infineon Technologies AG,DE_large
DE0005810055,Deutsche Boerse AG,DE_large
DE000A1ML7J1,Vonovia SE,DE_large
DE000PAG9113,Dr Ing hc F Porsche AG,DE_large
DE0008402215,Hannover Rueck SE,DE_large
DE0005439004,Continental AG,DE_large
DE0005470405,LANXESS AG,DE_mid
DE0005909006,Bilfinger SE,DE_mid
DE000DWS1007,DWS Group GmbH & Co KGaA,DE_mid
DE000A13SX22,Hella GmbH & Co KGaA,DE_mid
DE000A12DM80,Scout24 SE,DE_mid
LU0061462528,RTL Group SA,DE_mid
DE000A3E5D64,FUCHS SE,DE_mid
DE000A161408,HelloFresh SE,DE_mid
DE000A1PHFF7,HUGO BOSS AG,DE_mid
DE0007493991,Stroeer SE & Co KGaA,DE_mid
DE0006969603,Puma SE,DE_mid
DE0006219934,Jungheinrich AG,DE_mid
DE0006602006,GEA Group AG,DE_mid
DE000KGX8881,KION Group AG,DE_mid
DE000A2NB601,Jenoptik AG,DE_mid
DE000TLX1005,Talanx AG,DE_mid
DE000RENK730,RENK Group AG,DE_mid
DE000WCH8881,Wacker Chemie AG,DE_mid
DE000A0Z2ZZ5,Freenet AG,DE_mid
DE000HAG0005,Hensoldt AG,DE_mid
DE0006070006,HOCHTIEF AG,DE_mid
DE000A2YN900,TeamViewer SE,DE_mid
DE000A0LD6E6,Gerresheimer AG,DE_mid
DE000A0WMPJ6,AIXTRON SE,DE_mid
DE0006452907,Nemetschek SE,DE_mid
DE000A2E4K43,Delivery Hero SE,DE_mid
DE0005313704,Carl Zeiss Meditec AG,DE_mid
NL0012044747,Redcare Pharmacy NV,DE_mid
DE0007010803,Rational AG,DE_mid
DE0005158703,Bechtle AG,DE_mid
DE0005089031,United Internet AG,DE_mid
DE000A0HN5C6,Deutsche Wohnen SE,DE_mid
DE0006335003,Krones AG,DE_mid
DE0005664809,Evotec SE,DE_mid
DE000TRAT0N7,Traton SE,DE_mid
DE0005470306,CTS Eventim AG & Co KGaA,DE_mid
DE000KBX1006,Knorr-Bremse AG,DE_mid
DE0005773303,Fraport AG Frankfurt Airport S,DE_mid
DE000EVNK013,Evonik Industries AG,DE_mid
DE000A0D6554,Nordex SE,DE_mid
DE0008232125,Deutsche Lufthansa AG,DE_mid
DE000A2LQ884,Auto1 Group SE,DE_mid
DE000KSAG888,K+S AG,DE_mid
DE0006766504,Aurubis AG,DE_mid
DE000FTG1111,flatexDEGIRO AG,DE_mid
DE0007500001,thyssenkrupp AG,DE_mid
DE000LEG1110,LEG Immobilien SE,DE_mid
LU1673108939,Aroundtown SA,DE_mid
DE0008303504,TAG Immobilien AG,DE_mid
DE000TUAG505,TUI AG,DE_mid
DE0006292030,KSB SE & Co KGaA,DE_small
DE0006569908,MLP SE,DE_small
DE0006200108,Indus Holding AG,DE_small
DE000SPG1003,Springer Nature AG & Co KGaA,DE_small
DE0005493365,Hypoport SE,DE_small
AT0000A0E9W5,Kontron AG,DE_small
DE0007480204,Deutsche EuroShop AG,DE_small
DE000A3H2333,Hamborner REIT AG,DE_small
DE000WACK012,Wacker Neuson SE,DE_small
DE000BEAU7Y1,Douglas AG,DE_small
DE0006083405,Hornbach Holding AG & Co KGaA,DE_small
DE000A1K0235,SUSS MicroTec SE,DE_small
DE000PAT1AG3,PATRIZIA SE,DE_small
LU0775917882,Grand City Properties SA,DE_small
DE000A2NB650,Mutares SE & Co KGaA,DE_small
DE0005093108,Amadeus Fire AG,DE_small
DE000A1H8BV3,Norma Group SE,DE_small
DE0007461006,PVA TePla AG,DE_small
DE000PSM7770,ProSiebenSat.1 Media SE,DE_small
DE000A3H2200,Nagarro SE,DE_small
DE000A0JL9W6,Verbio SE,DE_small
DE000KC01000,Kloeckner & Co SE,DE_small
DE000A0Z23Q5,Adesso SE,DE_small
DE000STAB1L8,Stabilus SE,DE_small
DE0005545503,1&1 AG,DE_small
DE000SAFH001,SAF-Holland SE,DE_small
DE000STRA555,STRATEC SE,DE_small
DE000A0JBPG2,PNE AG,DE_small
DE000A3ENQ51,Schott Pharma AG & Co KGaA,DE_small
DE0005772206,Fielmann Group AG,DE_small
DE000A1MMCC8,Medios AG,DE_small
DE0008051004,Wuestenrot & Wuerttembergische,DE_small
DE0007568578,SFC Energy AG,DE_small
DE0006305006,Deutz AG,DE_small
DE0005103006,Adtran Networks SE,DE_small
DE0005659700,Eckert & Ziegler SE,DE_small
DE000A0DJ6J9,SMA Solar Technology AG,DE_small
DE0005313506,Energiekontor AG,DE_small
DE0005550636,Draegerwerk AG & Co KGaA,DE_small
DE0005565204,Duerr AG,DE_small
DE0005677108,Elmos Semiconductor SE,DE_small
DE000JST4000,JOST Werke SE,DE_small
DE000WAF3001,Siltronic AG,DE_small
DE0007231326,Sixt SE,DE_small
DE000A288904,CompuGroup Medical SE & Co Kga,DE_small
DE0005800601,GFT Technologies SE,DE_small
DE000A1EWVY8,Formycon AG,DE_small
DE000A1TNUT7,Deutsche Beteiligungs AG,DE_small
LU1704650164,Befesa SA,DE_small
DE0007274136,STO SE & Co KGaA,DE_small
DE0007667107,Vossloh AG,DE_small
DE0005493092,Borussia Dortmund GmbH & Co KG,DE_small
DE0005104400,Atoss Software SE,DE_small
DE0007314007,Heidelberger Druckmaschinen AG,DE_small
DE0007235301,SGL Carbon SE,DE_small
DE0006450000,LPKF Laser & Electronics SE,DE_small
DE0007276503,Secunet Security Networks AG,DE_small
DE0005419105,CANCOM SE,DE_small
DE0007297004,Suedzucker AG,DE_small
DE000A2YNT30,AlzChem Group AG,DE_small
DE000SHA0019,Schaeffler AG,DE_small
DE000A161N30,GRENKE AG,DE_small
DE0007257503,CECONOMY AG,DE_small
DE000A3E00M1,IONOS Group SE,DE_small
DE0008019001,Deutsche Pfandbriefbank AG,DE_small
DE0006202005,Salzgitter AG,DE_small
DE0005403901,Cewe Stiftung & Co KGAA,DE_small
DE000A2GS5D8,Dermapharm Holding SE,DE_small
DE0007074007,KWS Saat SE & Co KGaA,DE_small
DE000A255F11,Friedrich Vorwerk Group SE,DE_small
FR0000120321,L'Oreal SA,EU_large
FR0000125486,Vinci SA,EU_large
ES0113211835,Banco Bilbao Vizcaya Argentari,EU_large
NL0010273215,ASML Holding NV,EU_large
ES0113900J37,Banco Santander SA,EU_large
FR0000120271,TotalEnergies SE,EU_large
FR0000120073,Air Liquide SA,EU_large
FR0000120628,AXA SA,EU_large
FR0000131104,BNP Paribas SA,EU_large
FR0000120644,Danone SA,EU_large
FR0000125007,Cie de Saint-Gobain SA,EU_large
FR0000121667,EssilorLuxottica SA,EU_large
FR0000121014,LVMH Moet Hennessy Louis Vuitt,EU_large
FR0000121485,Kering SA,EU_large
NL0011585146,Ferrari NV,EU_large
FR0000073272,Safran SA,EU_large
NL0000395903,Wolters Kluwer NV,EU_large
NL0011794037,Koninklijke Ahold Delhaize NV,EU_large
IT0005239360,UniCredit SpA,EU_large
ES0144580Y14,Iberdrola SA,EU_large
FR0000052292,Hermes International SCA,EU_large
NL00150001Q9,Stellantis NV,EU_large
NL0011821202,ING Groep NV,EU_large
NL0013654783,Prosus NV,EU_large
ES0148396007,Industria de Diseno Textil SA,EU_large
IT0000072618,Intesa Sanpaolo SpA,EU_large
